english,pinyin,character,category,tags,notes
Peking Duck,Běijīng kǎoyā,北京烤鸭,food and drink,food;cuisine,Famous Beijing roast duck specialty
Great Wall,Chángchéng,长城,Beijing landmarks,landmark;history,Ancient world wonder
Bus,gōnggòng qìchē,公共汽车,travel,transport,Public transit bus
Teacher,lǎoshī,老师,occupations,people,Respectful term for instructor
Happy,gāoxìng,高兴,adjectives,emotion,Feeling cheerful
Book,shū,书,home furnishings and rooms,learning,Single character word
Library,túshūguǎn,图书馆,places,learning,Literally picture book hall
Winter,dōngtiān,冬天,seasons,weather,Coldest season of the year
Spring,chūntiān,春天,seasons,weather,Season of renewal
China,Zhōngguó,中国,countries,geography,Literally Middle Kingdom
